Run name,Velocity [m/s],Link to download
do14_2024-05-23_11-43-21.mat,2,https://todo.com
do14_2024-05-23_11-48-10.mat,2,https://todo.com
do14_2024-05-23_12-01-07.mat,3,https://todo.com
do14_2024-05-23_12-07-21.mat,3,https://todo.com
